date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:24:17	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2017%20May%202019%2008:54:17%20GMT	https://colorlib.com/preview/theme/homespace/css/images/ui-icons_f9bd01_256x240.png	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/css/images/ui-icons_f9bd01_256x240.png	(from https://colorlib.com/preview/theme/homespace/css/jquery-ui.css)
14:24:18	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2017%20May%202019%2008:54:18%20GMT	https://colorlib.com/preview/theme/homespace/css/images/ui-icons_2e83ff_256x240.png	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/css/images/ui-icons_2e83ff_256x240.png	(from https://colorlib.com/preview/theme/homespace/css/jquery-ui.css)
14:24:19	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2017%20May%202019%2008:54:20%20GMT	https://colorlib.com/preview/theme/homespace/css/images/ui-icons_cd0a0a_256x240.png	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/css/images/ui-icons_cd0a0a_256x240.png	(from https://colorlib.com/preview/theme/homespace/css/jquery-ui.css)
14:24:20	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2017%20May%202019%2008:54:20%20GMT	https://colorlib.com/preview/theme/homespace/css/owl.video.play.png	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/css/owl.video.play.png	(from https://colorlib.com/preview/theme/homespace/css/owl.carousel.min.css)
14:24:21	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2017%20May%202019%2008:54:21%20GMT	https://colorlib.com/preview/theme/homespace/css/mejs-controls.svg	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/css/mejs-controls.svg	(from https://colorlib.com/preview/theme/homespace/css/mediaelementplayer.css)
14:24:22	5514/5514	---M--	200	added ('OK')	application/octet-stream	etag:%225c3a652b-158a%22	https://colorlib.com/preview/theme/homespace/fonts/flaticon/font/Flaticon.eot	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/fonts/flaticon/font/Flaticon.eot	(from https://colorlib.com/preview/theme/homespace/fonts/flaticon/font/flaticon.css)
14:24:24	5514/5514	---M--	200	added ('OK')	application/octet-stream	etag:%225c3a652b-158a%22	https://colorlib.com/preview/theme/homespace/fonts/flaticon/font/Flaticon.eot?	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/fonts/flaticon/font/Flaticond41d.eot	(from https://colorlib.com/preview/theme/homespace/fonts/flaticon/font/flaticon.css)
14:24:25	3400/3400	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225c3a652f-d48%22	https://colorlib.com/preview/theme/homespace/fonts/flaticon/font/Flaticon.woff	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/fonts/flaticon/font/Flaticon.woff	(from https://colorlib.com/preview/theme/homespace/fonts/flaticon/font/flaticon.css)
14:24:26	5336/5336	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%225c3a652e-14d8%22	https://colorlib.com/preview/theme/homespace/fonts/flaticon/font/Flaticon.ttf	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/fonts/flaticon/font/Flaticon.ttf	(from https://colorlib.com/preview/theme/homespace/fonts/flaticon/font/flaticon.css)
14:24:27	26271/26271	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225c3a652e-669f%22	https://colorlib.com/preview/theme/homespace/fonts/flaticon/font/Flaticon.svg	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/fonts/flaticon/font/Flaticon.svg	(from https://colorlib.com/preview/theme/homespace/fonts/flaticon/font/flaticon.css)
